Video ID,Start Time (s),End Time (s),Transcript
https://youtu.be/5A-oKchY7Og,2.4,5.2,ಒಂದು ತಾಯಿಯ ಗರ್ಭದಿಂದ.
https://youtu.be/5A-oKchY7Og,6.5,9.5,ಮಗು ಈಭೂಮಿಗೆ ಬರುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,11.1,15.0,ತಾಯಿಯ ಗರ್ಭದಿಂದ ಮಗು ಭೂಮಿಗೆ ಬರುವಾಗ.
https://youtu.be/5A-oKchY7Og,15.3,18.1,ಹುಟ್ಟುವ ಮಗು.
https://youtu.be/5A-oKchY7Og,18.5,21.1,ಅಳತ ಭೂಮಿಗೆ ಬರುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,23.3,26.6,ಎಷ್ಟು ಜನ ನಾವು ಹುಟ್ಟಿ ಬಂದಿದ್ದೇವೆ.
https://youtu.be/5A-oKchY7Og,26.6,30.8,ಹಲವು ಮಕ್ಕಳು ಹುಟ್ಟಿ ಬರುವುದನ್ನು ನಾವು ನೋಡುತ್ತೇವೆ.
https://youtu.be/5A-oKchY7Og,31.1,37.3,ಯಾಕೆ ತಾಯಿಯ ಗರ್ಭದಿಂದ ಭೂಮಿಗೆ ಬರುವ ಮಗು ಹುಟ್ಟುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,38.3,41.6,ಏನು ಪಡಿಬೇಕು ಅಂತ ಅಳುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,43.2,46.5,ಈ ಭೂಮಿಯನ್ನು ಬಿಟ್ಟುಹೋಗುವಾಗ.
https://youtu.be/5A-oKchY7Og,46.5,53.6,ವ್ಯಕ್ತಿ ಭೂಮಿಯನ್ನು ಬಿಟ್ಟು ಹೋಗುವ ವ್ಯಕ್ತಿ ತಾನೆ ಹೋಗ್ತಾನೆ.
https://youtu.be/5A-oKchY7Og,54.5,57.8,ಹುಟ್ಟುವ ಮಗು ಅಳುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,57.8,64.3,"ಭೂಮಿಗೆ ಬರುವ ಮಗುವೂ ಅಳುತ್ತದೆ, ಭೂಮಿಯನ್ನು ಬಿಟ್ಟು ಹೋಗುವ ವ್ಯಕ್ತಿ ಅತಹೋಗ್ತಾನೆ."
https://youtu.be/5A-oKchY7Og,64.3,69.7,ಭೂಮಿಗೆ ಬರುವ ಮಗು ತಬಂತಲ್ಲ ಅದು ಬಂತು.
https://youtu.be/5A-oKchY7Og,69.7,75.4,ಈಭೂಮಿಯನ್ನು ಬಿಟ್ಟು ಹೋಗುವ ಮನುಷ್ಯ ಅಳಕಂಲ್ಲ.
https://youtu.be/5A-oKchY7Og,76.3,79.6,ಭೂಮಿಗೆ ಬಂದ ಮಗುತತ.
https://youtu.be/5A-oKchY7Og,79.6,84.0,ಏನು ಪಡೆಬೇಕುಂತ ಮಗುಿತೆ.
https://youtu.be/5A-oKchY7Og,84.0,90.3,ಮತ್ತು ಭೂಮಿಯನ್ನು ಬಿಟ್ಟು ಹೋಗುವ ಮನುಷ್ಯ ಏನನ್ನು ಇಲ್ಲಿ ಕಕೊಂಡ ಅಂತ.
https://youtu.be/5A-oKchY7Og,93.2,100.7,ಒಂದು ಮಗುವಿನ ಬಯಕ್ಕೆ ಅದು  ಏನು ಪಡಬೇಕು ಅಂತ ಂದರೆ.
https://youtu.be/5A-oKchY7Og,101.3,103.4,ಸಂತೋಷ
https://youtu.be/5A-oKchY7Og,103.9,114.2,ಒಬ್ಬ ವ್ಯಕ್ತಿ ಜಗತ್ತನ್ನು ಬಿಟ್ಟು ಹೋಗುವಾಗಕತ್ತಿ ಯಾಕೆಂದರೆ ಏನು ಕಕೊಂಡಿದ್ದೆ ಸಂತೋಷ ಕಕೊಂಡ.
