Video ID,Start Time (s),End Time (s),Transcript
T_lMkzAHyGg,0.0,4.12," जब से ब्राह्मनों ने अपना धर्म छोड़ दिया, हिंदु धर्म का फ्रास होता है."
T_lMkzAHyGg,4.4,6.7, क्या धर्म छोड़ दिया? वेदा धैन छोड़ दिया.
T_lMkzAHyGg,6.82,9.44, पर इसमें कसूर ब्राह्मनों का नहीं है.
T_lMkzAHyGg,9.86,14.28," महाभारत पर पढ़िये, सबसे कठिन धर्म ब्राह्मन का धर्म है."
T_lMkzAHyGg,14.28,17.2," ब्राह्मन का धर्म सबसे कठिन है, जीवन यापन।"
T_lMkzAHyGg,17.78,20.7," वो किर्षी नहीं कर सकता, बिजनस नहीं कर सकता»,"
T_lMkzAHyGg,21.38,24.64, वो कोई सेवा वाले पैसा लेकर सेवा नहीं कर सकता।
T_lMkzAHyGg,24.98,29.58," उसका काम था ज्ञान का वाचना,"
T_lMkzAHyGg,30.02,33.22, मंदिर का सेवा और कर्मकान।
T_lMkzAHyGg,33.22,41.8, 16 संस्कार होते हैं हमारे जीवन में जन्म से लेकर किर्याकर्म तक हर एक में ब्रह्मण की जरूरत होती है
T_lMkzAHyGg,41.8,48.32, हम लोग टूरिस्ट गाइड को 51 रुपए दे देंगे जूत बोलने के लिए गलत बात नहीं बताएगा
T_lMkzAHyGg,48.32,52.58, पंडित अगर कहेगा जी मैं मंतर दिखाऊं अरे नहीं ये चोर होते हैं
