Video ID,Start Time (s),End Time (s),Transcript
https://youtu.be/JJOQsYmak2g,0.0,2.3,ಶ್ರೀ ಗುರು
https://youtu.be/JJOQsYmak2g,2.6,6.7,ಸರ್ವ ಸ್ವರೂಪ ಸರ್ವೇ ಸರ್ವಶಕ್ತಿ ಸಮನ್ವಿತ.
https://youtu.be/JJOQsYmak2g,6.7,11.1,ದೇವಿ ದುರ್ಗಾದೇವಿ ನಮಸ್ತು.
https://youtu.be/JJOQsYmak2g,11.1,17.8,ನಾವು ಸಂಕಟಗಳ ಬಂದಾಗ ನಮ್ಮ ದುಃಖಗಳೆಲ್ಲ ಪರಿಹಾರ ಆಗಬೇಕು ಅಂದರೆ.
https://youtu.be/JJOQsYmak2g,17.8,35.2,ಅದಕ್ಕೆ ಮೂಲದೇವತೆ ದುರ್ಗಾದೇವಿ.
https://youtu.be/JJOQsYmak2g,35.2,37.9,ಒಂದು ಪ್ರಾರ್ಥನೆಯನ್ನು ಮಾಡಬೇಕು.
https://youtu.be/JJOQsYmak2g,37.9,89.3,ಾ್ಕಗ್   ಯ್ಲಿ ್ಾಡಿ ಾಿ್ ಹಳ ವಮಾವಗಗ ಗ ಪರ್ಣ ಾರ್  .
https://youtu.be/JJOQsYmak2g,89.3,109.5,ಸಾಮಾನ್ಯವಾಗಿ ಎಲ್ಲ ಯಾಗಗಳಲ್ಲಿ ಒಂದೇ ಪೂರ್ಣಾವತಿ ಇರುತ್ತದೆ ಮೂರು ಅಧ್ಯಾಯಗಳಿಗೆ ಮೂರು ಪೂರ್ಣಾವತಿ ಪೂರ್ಣಾವತಿಯನ್ನು ಮಾಡಿ ಒಂದು ಮಹಾಪೂರ್ಣಾವತಿಯನ್ನು ನೆರವೇರಿಸಿದರೆ ಅನುಕೂಲ ಮಾಡುತ್ತಾರೆ ನಂಬಿಕೆ ನಮ್ಮ ಹಿಂದೂ ಸಂಸ್ಕೃತಿಯಲ್ಲಿ ಗಳಿಂದಕಾಲದಿಂದೂ ಬಂದಿದೆ.
https://youtu.be/JJOQsYmak2g,109.5,110.5,ಹಾಗೆ
https://youtu.be/JJOQsYmak2g,110.5,161.5,ಕ ್ಿ್  .
https://youtu.be/JJOQsYmak2g,161.5,172.1,ಅದೇ ಕೊಲ್ಲೂರು ಮೂಕಾಂಬಿಕ ವಿಶೇಷವಾದ ಕ್ಷೇತ್ರ ುಹ ಸಾಮಾನ್ಯವಾಗಿ ಯಾರುಲ್ಲಿಮಾಡಿ.
https://youtu.be/JJOQsYmak2g,172.1,179.1,ತಾಯಿ ಕೊಲ್ಲೂರು ಮೂಕಾಂಬಿಕಾ ಕ್ಷೇತ್ರ ಕ್ಷೇತ್ರದಲ್ಲಿ ಬಂದಾಗ ಅವರಿಗೆ .
