Video ID,Start Time (s),End Time (s),Transcript
https://youtu.be/gJaLDkmezOI,6.3,13.0,ನಮಸ್ಕಾರ ವೀಕ್ಷಕರು ಬ್ರಹ್ಮಾಂಡ ಭವಿಷ್ಯ ಎರಡು ನಾಲ್ಕು ವಿಶೇಷ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಸ್ವಾಗತ.
https://youtu.be/gJaLDkmezOI,13.0,14.5,ನಾನು ಕಾವ್ಯ.
https://youtu.be/gJaLDkmezOI,21.0,32.8,"ಹೊಸ ವರ್ಷ, ಹೊಸ ಹರ್ಷ, ಹೊಸ ವರ್ಷದ ವಸ್ತಿಲಲ್ಲಿ ನಾವಿದ್ದೇವೆ ಪ್ರತಿಯೊಬ್ಬರಗೂ ನಿರೀಕ್ಷೆಗಳುಇುತ್ತೆ."
https://youtu.be/gJaLDkmezOI,32.8,48.6,"ಒದ ಸಮಸ್ಯೆಗಳಿದ್ದಲ್ಲಿ ಯಾವ ರೀತಿಯದ ಪರಿಹಾರವನ್ನು ಮಾಡಬೇಕಾಗುತ್ತೆ ರಾಜ್ಯ ರಾಜಕಾರಣದಲ್ಲಿ ಏನಾಗುವುದು, ರಾಷ್ಟ್ರ ರಾಜಕಾರಣದಲ್ಲಿ ಏನಾಗುವುದು ಕ್ಷೇತ್ರಕ್ಕೆ ಹೆಚ್ಚಿನ ಲಾಭುತ್ತೆ?"
https://youtu.be/gJaLDkmezOI,48.6,52.5,ಶ್ರೀ ಸಂಪೂರ್ಣ ವರಮಹಾಲಕ್ಷ್ಮಿ ಮಹಾಸಂಸ್ಥಾನದ ಸಂಸ್ಥಾಪಕರು.
https://youtu.be/gJaLDkmezOI,52.5,54.6,ಹಾಗೂ ಧರ್ಮದರ್ಶಿಗಳು ಆಗಿರುವಂತಹ.
https://youtu.be/gJaLDkmezOI,54.6,58.2,ಬ್ರಹ್ಮಾಂಡ ಗುರೂಜಿಅವರು ಮನೆಯವರ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಸ್ವಾಗತಿಸೋಣ.
https://youtu.be/gJaLDkmezOI,58.2,60.9,ನಮಸ್ತೆ ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಸ್ವಾಗತ.
https://youtu.be/gJaLDkmezOI,60.9,64.0,.ಗುರುಗಳ ಹೊಸ ವರ್ಷ ಪ್ರತಿಯೊಬ್ಬರು ಕೂಡ.
https://youtu.be/gJaLDkmezOI,64.0,70.0,ಸಂಭ್ರಮ ಸಡಗರದಿಂದ ಸೆಲೆಬ್ರೇಟರ ಾಮಾಡ್ತೀವಿ.
https://youtu.be/gJaLDkmezOI,70.0,74.5,ಎಲ್ಲಾ ದೇವಾನಗರ ಭಕ್ತ್ಿ ವೀಕ್ಷಕರು ತಮ್ಮೆಲ್ಲರಿಗೂ ಆದರದ ಸ್ವಾಗತ ಸುಸ್ವಾಗತ.
https://youtu.be/gJaLDkmezOI,74.5,79.4,ಅಸಾಧ್ಯ ಸಾಧಕ ಸ್ವಾಮಿಸ ಶ್ರೀರಾಮು.
https://youtu.be/gJaLDkmezOI,79.4,84.7,ಯದೇವಿ ಸರ್ವಭೂತ ಾತರ ಸಂಸ್ಕೃತ ನಮಸ್ತ ನಮಸ್ತೆ ನಮಸ್ತೆ.
